ArtistName,Danceability,Valence
Ali Gatie,0.73,0.39
Anuel AA,0.78,0.6
Ariana Grande,0.77,0.32
Bad Bunny,0.88,0.52
Billie Eilish,0.7,0.24
Chris Brown,0.69,0.13
Daddy Yankee,0.78,0.6
DJ Snake,0.69,0.37
Drake,0.67,0.5
Ed Sheeran,0.8,0.82
J Balvin,0.72,0.66
Jhay Cortez,0.8,0.57
Jonas Brothers,0.84,0.95
Katy Perry,0.76,0.38
Khalid,0.7,0.24
Kygo,0.69,0.4
Lady Gaga,0.57,0.32
Lauv,0.8,0.67
Lewis Capaldi,0.5,0.44
Lil Nas X,0.87,0.63
Lil Tecca,0.74,0.22
Lizzo,0.66,0.47
Lunay,0.72,0.87
Maluma,0.77,0.68
Marshmello,0.68,0.67
Martin Garrix,0.66,0.31
MEDUZA,0.59,0.52
Nicky Jam,0.81,0.66
Post Malone,0.69,0.55
ROSALIA,0.59,0.06
Sam Smith,0.47,0.34
Sech,0.88,0.67
Shawn Mendes,0.75,0.74
Taylor Swift,0.77,0.71
The Chainsmokers,0.52,0.35
Tones and I,0.82,0.51
Y2K,0.84,0.49
Young Thug,0.8,0.3
