"1","Senorita","Shawn Mendes","canadian pop",76,75
"2","China","Anuel AA","reggaeton flow",79,61
"3","boyfriend (with Social House)","Ariana Grande","dance pop",40,70
"4","Beautiful People (feat. Khalid)","Ed Sheeran","pop",64,55
"5","Goodbyes (Feat. Young Thug)","Post Malone","dfw rap",58,18
"6","I Don't Care (with Justin Bieber)","Ed Sheeran","pop",80,84
"7","Ransom","Lil Tecca","trap music",75,23
"8","How Do You Sleep?","Sam Smith","pop",48,35
"9","Old Town Road - Remix","Lil Nas X","country rap",88,64
"10","bad guy","Billie Eilish","electropop",70,56
"11","Callaita","Bad Bunny","reggaeton",61,24
"12","Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake","dance pop",82,38
"13","Someone You Loved","Lewis Capaldi","pop",50,45
"14","Otro Trago - Remix","Sech","panamanian pop",73,76
"15","Money In The Grave (Drake ft. Rick Ross)","Drake","canadian hip hop",83,10
"16","No Guidance (feat. Drake)","Chris Brown","dance pop",70,14
"17","LA CANCI�N","J Balvin","latin",75,43
"18","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","dfw rap",76,91
"19","Lalala","Y2K","canadian hip hop",84,50
"20","Truth Hurts","Lizzo","escape room",72,41
"21","Piece Of Your Heart","MEDUZA","pop house",68,63
"22","Panini","Lil Nas X","country rap",70,48
"23","No Me Conoce - Remix","Jhay Cortez","reggaeton flow",81,58
"24","Soltera - Remix","Lunay","latin",80,80
"25","bad guy (with Justin Bieber)","Billie Eilish","electropop",67,68
"26","If I Can't Have You","Shawn Mendes","canadian pop",69,87
"27","Dance Monkey","Tones and I","australian pop",82,54
"28","It's You","Ali Gatie","canadian hip hop",73,40
"29","Con Calma","Daddy Yankee","latin",74,66
"30","QUE PRETENDES","J Balvin","latin",64,94
"31","Takeaway","The Chainsmokers","edm",29,36
"32","7 rings","Ariana Grande","dance pop",78,33
"33","0.958333333333333","Maluma","reggaeton",78,68
"34","The London (feat. J. Cole & Travis Scott)","Young Thug","atl hip hop",80,18
"35","Never Really Over","Katy Perry","dance pop",77,39
"36","Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix","big room",66,32
"37","Otro Trago","Sech","panamanian pop",75,62
"38","Antisocial (with Travis Scott)","Ed Sheeran","pop",72,91
"39","Sucker","Jonas Brothers","boy band",84,95
"40","fuck, i'm lonely (with Anne-Marie) - from �13 Reasons Why: Season 3�","Lauv",0,95
"41","Higher Love","Kygo","edm",69,40
"42","You Need To Calm Down","Taylor Swift","dance pop",77,73
"43","Shallow","Lady Gaga","dance pop",57,32
"44","Talk","Khalid","pop",90,35
"45","Con Altura","ROSAL�A","r&b en espanol",88,75
"46","One Thing Right","Marshmello","brostep",66,44
"47","Te Robar�","Nicky Jam","latin"67,80
"48","Happier","Marshmello","brostep",69,67
"49","Call You Mine","The Chainsmokers","edm",59,50
"50","Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran","pop",75,61
